Company_name,Company_website,Rating_nr,Rating_recommend_to_friend,Number_of_reviews,Number_of_salaries,Number_of_interviews
 Sjenkels Partners ,www.sjenkels.nl,4.0, 44% recommended to a friend, 3, 2, 1
 Kwintes ,www.kwintes.nl,4.7, 100% recommended to a friend, 3, 2, 1
 Ter Stal ,www.terstal.nl,3.7, 50% recommended to a friend, 3, 2, --
 ThiemeMeulenhoff ,www.thiememeulenhoff.nl,3.6, 100% recommended to a friend, 3, 3, --
 Transtrack international ,www.transtrackinternational.com,3.1, 51% recommended to a friend, 3, 2, --
 Van Gogh Museum ,www.vangoghmuseum.nl,4.0, 100% recommended to a friend, 3, 6, --
 Walibi Holland ,www.walibi.nl,4.0, 100% recommended to a friend, 3, 3, 1
 ZZG Zorggroep ,www.zzgzorggroep.nl,4.3, 100% recommended to a friend, 3, 3, 1
 VIRO ,www.viro.nl,4.0, 100% recommended to a friend, 3, 6, 1
 De Wever ,www.dewever.nl,4.7, 100% recommended to a friend, 3, 1, --
 Hostnet (NL) ,www.hostnet.nl,3.7, 68% recommended to a friend, 3, 5, --
 Satelliet Meubelen ,www.satelliet.net,3.9, 62% recommended to a friend, 3, --, --
 Yonego ,www.yonego.nl,3.7, 67% recommended to a friend, 3, 1, 1
 Ekoplaza ,www.ekoplaza.nl,4.7, 100% recommended to a friend, 3, 1, --
 Bakker Barendrecht ,www.bakkerbarendrecht.nl,3.6, 62% recommended to a friend, 3, 2, --
 NIVO NOORD ,www.nivonoord.nl,4.3, 100% recommended to a friend, 3, 1, 1
 PCI Groep ,www.pci-groep.nl,3.5, 55% recommended to a friend, 3, 2, --
 Batavus ,www.batavus.com,4.6, 100% recommended to a friend, 3, 2, --
 D&B The Facility Group ,www.db.nl,5.0, 100% recommended to a friend, 3, 2, --
 Miss Etam ,www.missetam.nl,4.7, 100% recommended to a friend, 3, 2, --
 Solvinity ,www.solvinity.com,4.4, 100% recommended to a friend, 3, 6, 1
 Profit Nederland ,www.profitnederland.nl,5.0, 100% recommended to a friend, 3, 2, --
 Blinker (NL) ,www.blinker.nl,1.6, 0% recommended to a friend, 3, --, --
 Bijlesmatch ,www.bijlesmatch.nl,4.2, 100% recommended to a friend, 3, 1, --
 Sushipoint ,www.sushipoint.nl,4.6, 100% recommended to a friend, 3, 2, 1
 Maltha Studiecoaching ,www.malthastudiecoaching.nl,3.7, 66% recommended to a friend, 3, --, --
 Wonderflow ,www.wonderflow.co,4.7, 100% recommended to a friend, 3, 1, --
 WETALENT ,www.wetalent.nl,5.0, 100% recommended to a friend, 3, --, --
 Interpolis ,www.interpolis.nl,4.7, 100% recommended to a friend, 3, 3, 2
 FMO Development Bank ,www.fmo.nl,4.0, 100% recommended to a friend, 3, 7, 4
 Leger des Heils ,www.legerdesheils.nl,3.0, 69% recommended to a friend, 3, 3, 1
 Personato ,www.personato.nl,4.3, 100% recommended to a friend, 3, 3, --
 Call2 ,www.call2.nl,4.3, 100% recommended to a friend, 3, 8, --
 Xtrasource Europe ,www.xtrasource.com,3.6, 65% recommended to a friend, 4, 6, 1
 Roamler ,www.roamler.com,4.7, 100% recommended to a friend, 3, 1, --
 Flynck ,www.flynck.nl,5.0, 100% recommended to a friend, 3, --, --
 SAM Recruitment ,www.samrecruitment.nl,4.2, 72% recommended to a friend, 3, 2, 1
 LabResource ,www.labresource.nl,4.4, 100% recommended to a friend, 3, 2, --
 Universit ,www.universitplatform.com,3.0, 66% recommended to a friend, 3, 1, 1
 Spirit Hosting & Promotions ,www.spirithospitalityservices.nl,4.0, 100% recommended to a friend, 3, 1, 1
 GamePoint ,www.gamepoint.biz,3.8, 70% recommended to a friend, 3, --, --
 Bvolve ,www.bvolve.nl,1.7, 33% recommended to a friend, 3, 1, --
 Rosefield ,www.rosefieldwatches.com,2.9, 62% recommended to a friend, 3, --, --
 Helloprint ,www.helloprint.com,4.0, 65% recommended to a friend, 3, 4, 2
 Matchpartner ,www.matchpartner.nl,3.9, 72% recommended to a friend, 3, --, --
 Aethon.nl ,www.aethon.nl,3.7, 100% recommended to a friend, 3, 3, 2
 QISS IT ,www.qiss-it.nl,3.4, 67% recommended to a friend, 3, 2, 1
 T2 Detachering ,www.t2.nl,5.0, 100% recommended to a friend, 3, 1, --
 Quades ,www.quades.nl,4.7, 100% recommended to a friend, 3, --, --
 RoomRaccoon ,www.roomraccoon.com,4.7, 100% recommended to a friend, 3, --, --
 ITsec Security Services ,www.itsec.nl,1.0, 0% recommended to a friend, 3, 2, --
 Zaaksysteem.nl ,www.zaaksysteem.nl,5.0, 100% recommended to a friend, 3, --, 1
 Duifhuizen Tassen & Koffers ,www.duifhuizen.nl,1.3, 0% recommended to a friend, 3, --, --
 The Home Depot ,www.homedepot.com,3.5, 67% recommended to a friend, 18k, 24k, 4.3k
 Best Buy ,www.bestbuy.com,3.8, 79% recommended to a friend, 17k, 23k, 4.2k
 Macy's ,www.macysjobs.com,3.2, 51% recommended to a friend, 16k, 18k, 6.6k
 CVS Health ,jobs.cvshealth.com,2.8, 37% recommended to a friend, 14k, 20k, 2.9k
 Citi ,www.citigroup.com,3.6, 71% recommended to a friend, 10.0k, 16k, 2.9k
 Nordstrom ,www.nordstrom.com,3.6, 68% recommended to a friend, 10.0k, 10.0k, 3.3k
 Boeing ,www.boeing.com,3.5, 67% recommended to a friend, 6.9k, 9.9k, 1.7k
 US Postal Service ,www.usps.com,3.0, 46% recommended to a friend, 6.1k, 5.2k, 1.8k
 Gap ,www.gap.com,3.6, 66% recommended to a friend, 4.7k, 8.3k, 1.4k
 UBS ,www.ubs.com,3.5, 69% recommended to a friend, 4.5k, 8.0k, 1.7k
 Booz Allen Hamilton ,www.boozallen.com,3.7, 75% recommended to a friend, 4.5k, 11k, 1.3k
 Tesco ,www.tesco-careers.com,3.5, 67% recommended to a friend, 4.0k, 4.5k, 1.2k
 Genpact ,www.genpact.com,3.5, 70% recommended to a friend, 3.9k, 2.9k, 939
 Bloomberg L.P. ,www.bloomberg.com,3.7, 70% recommended to a friend, 3.2k, 6.5k, 4.6k
